sample	chromosome	start	end	segVal
OK001	11	200001	56300000	2
OK001	11	56300001	58200000	3
OK001	11	58200001	62300000	1
OK001	11	62300001	65100000	2
OK001	11	65100001	6.9e+07	8
OK001	11	69000001	70400000	20
OK001	11	70400001	88400000	1
OK001	11	88400001	99300000	5
OK001	11	99300001	102900000	1
OK001	11	102900001	1.04e+08	4
OK001	11	104000001	134800000	1
OK001	12	200001	1600000	3
OK001	12	1600001	11600000	4
OK001	12	11600001	13300000	3
OK001	12	13300001	39300000	4
OK001	12	39300001	40900000	3
OK001	12	40900001	46100000	2
OK001	12	46100001	48100000	3
OK001	12	48100001	77900000	2
OK001	12	77900001	79800000	4
OK001	12	79800001	109200000	2
OK001	12	109200001	133800000	2
OK001	13	19400001	64900000	2
OK001	13	64900001	115169878	3
OK001	14	20400001	2.3e+07	3
OK001	14	23000001	26500000	4
OK001	14	26500001	102500000	4
OK001	14	102500001	107300000	4
OK001	15	22800001	42600000	2
OK001	15	42600001	99400000	2
OK001	15	99400001	102400000	2
OK001	16	100001	5e+06	3
OK001	16	5000001	2.9e+07	3
OK001	16	29600001	34400000	3
OK001	16	46600001	59700000	2
OK001	16	59700001	63400000	3
OK001	16	63400001	86400000	2
OK001	16	86400001	90100000	3
OK001	17	1	3200000	1
OK001	17	3300001	2.1e+07	2
OK001	17	21000001	31400000	3
OK001	17	31400001	36300000	2
OK001	17	36400001	48200000	3
OK001	17	48200001	49600000	4
OK001	17	49600001	68600000	3
OK001	17	68600001	72800000	3
OK001	17	72800001	77100000	4
OK001	17	77100001	81100000	2
OK001	18	200001	1500000	3
OK001	18	1500001	20400000	2
OK001	18	20400001	22700000	1
OK001	18	22700001	78077248	2
OK001	19	300001	7700000	1
OK001	19	7700001	9200000	2
OK001	19	9200001	11200000	4
OK001	19	11200001	16400000	3
OK001	19	16400001	59100000	2
OK001	20	1	22600000	3
OK001	20	22600001	26200000	4
OK001	20	29900001	62900000	3
OK001	21	15500001	48100000	1
OK001	22	17400001	51200000	2
OK002	1	900001	51900000	0
OK002	1	51900001	121300000	0
OK002	1	145400001	200900000	0
OK002	1	200900001	207100000	0
OK002	1	207100001	249200000	0
OK002	2	100001	2.43e+08	0
OK002	3	100001	88400000	0
OK002	3	88400001	117900000	0
OK002	3	118000001	164300000	0
OK002	3	164300001	197800000	0
OK002	4	100001	1.72e+08	0
OK002	4	172000001	190800000	0
OK002	5	100001	45100000	0
OK002	5	45100001	133900000	0
OK002	5	133900001	135700000	0
OK002	5	135700001	139900000	0
OK002	5	139900001	143100000	0
OK002	5	143100001	180700000	0
OK002	6	400001	6.4e+07	0
OK002	6	64000001	170900000	0
OK002	7	1	80600000	0
OK002	7	80600001	159100000	0
OK002	8	400001	146200000	0
OK002	9	200001	9800000	0
OK002	9	9800001	20600000	0
OK002	9	20600001	8.7e+07	-Inf
OK002	9	87000001	1.41e+08	0
OK002	10	100001	43400000	0
OK002	10	43500001	135400000	0
OK002	11	200001	111500000	0
OK002	11	111500001	134800000	0
OK002	12	200001	34100000	-Inf
OK002	12	38800001	92400000	0
OK002	12	92400001	133800000	0
OK002	13	19400001	23800000	0
OK002	13	23800001	73500000	0
OK002	13	73500001	74200000	0
OK002	13	74300001	115169878	0
OK002	14	20400001	39400000	0
OK002	14	39400001	68600000	0
OK002	14	68600001	107300000	0
OK002	15	22800001	38900000	0
OK002	15	38900001	88500000	0
OK002	15	88500001	9.1e+07	Inf
OK002	15	91000001	102400000	0
OK002	16	100001	2.9e+07	0
OK002	16	29600001	6.9e+07	0
OK002	16	69000001	90100000	0
OK002	17	1	46200000	0
OK002	17	46200001	81100000	0
OK002	18	200001	34200000	0
OK002	18	34200001	78077248	0
OK002	19	300001	4.7e+07	0
OK002	19	47000001	58800000	0
OK002	19	58800001	59100000	Inf
OK002	20	1	62900000	0
OK002	21	15500001	33400000	0
OK002	21	33500001	47300000	0
OK002	21	47300001	48100000	-Inf
OK002	22	17400001	51200000	-Inf
OK003	1	900001	46800000	2
OK003	1	46800001	50900000	3
OK003	1	50900001	55300000	3
OK003	1	55300001	62100000	3
OK003	1	62100001	65900000	2
OK003	1	65900001	105300000	3
OK003	1	105300001	145700000	3
OK003	1	146500001	205700000	4
OK003	1	205700001	249200000	2
OK003	2	100001	2.43e+08	3
OK003	3	100001	90200000	2
OK003	3	93600001	132500000	3
OK003	3	132500001	194800000	5
OK003	3	194800001	197800000	4
OK003	4	100001	38900000	2
OK003	4	38900001	4.1e+07	1
OK003	4	41000001	55800000	2
OK003	4	55800001	56400000	4
OK003	4	56400001	57900000	2
OK003	4	57900001	68500000	2
OK003	4	68500001	82400000	4
OK003	4	82400001	86500000	3
OK003	4	86500001	181100000	2
OK003	4	181100001	190800000	2
OK003	5	100001	4500000	6
OK003	5	4500001	22800000	4
OK003	5	22800001	27100000	3
OK003	5	27100001	28400000	5
OK003	5	28400001	32600000	4
OK003	5	32600001	44800000	4
OK003	5	44800001	45900000	6
OK003	5	49600001	170700000	2
OK003	5	170700001	180700000	2
OK003	6	400001	41300000	3
OK003	6	41300001	42600000	3
OK003	6	42600001	44500000	2
OK003	6	44500001	170900000	3
OK003	7	1	5200000	4
OK003	7	5200001	38900000	4
OK003	7	38900001	66400000	3
OK003	7	66800001	75400000	2
OK003	7	75400001	75900000	3
OK003	7	75900001	97500000	4
OK003	7	97700001	102500000	3
OK003	7	102500001	114300000	4
OK003	7	114300001	127200000	3
OK003	7	127200001	159100000	3
OK003	8	400001	37100000	2
OK003	8	37100001	39900000	6
OK003	8	39900001	69200000	2
OK003	8	69300001	142700000	3
OK003	8	142700001	146200000	2
OK003	9	200001	32700000	2
OK003	9	32700001	38200000	2
OK003	9	38200001	71900000	2
OK003	9	71900001	1.01e+08	2
OK003	9	101000001	1.41e+08	3
OK003	10	100001	38500000	3
OK003	10	42900001	44800000	4
OK003	10	44800001	135400000	2
OK003	11	200001	12700000	2
OK003	11	12700001	22500000	4
OK003	11	22600001	72300000	3
OK003	11	72300001	73700000	2
OK003	11	73700001	78300000	3
OK003	11	78300001	134800000	2
OK003	12	200001	24900000	4
OK003	12	24900001	31200000	3
OK003	12	31400001	33100000	3
OK003	12	33100001	4.9e+07	3
OK003	12	49000001	58200000	3
OK003	12	58200001	108700000	3
OK003	12	108700001	119700000	2
OK003	12	119700001	121100000	3
OK003	12	121100001	133800000	1
OK003	13	19400001	4.2e+07	2
OK003	13	42000001	115169878	2
OK003	14	20400001	22400000	2
OK003	14	22400001	2.3e+07	0
OK003	14	23000001	72900000	2
OK003	14	72900001	8e+07	2
OK003	14	80000001	107300000	2
OK003	15	22800001	84500000	3
OK003	15	84500001	102400000	5
OK003	16	100001	5e+06	3
OK003	16	5000001	29900000	3
OK003	16	30000001	90100000	3
OK003	17	1	14300000	3
OK003	17	14300001	54900000	3
OK003	17	54900001	81100000	2
OK003	18	200001	1.4e+07	3
OK003	18	14000001	21100000	4
OK003	18	21200001	24700000	3
OK003	18	24700001	76800000	2
OK003	18	76800001	78077248	3
OK003	19	300001	19600000	2
OK003	19	19600001	59100000	3
OK003	20	1	62900000	3
OK003	21	15500001	20800000	3
OK003	21	20800001	48100000	3
OK003	22	17400001	51200000	3
OK004	1	900001	48500000	3
OK004	1	48500001	72300000	3
OK004	1	72300001	108400000	2
OK004	1	108400001	115300000	2
OK004	1	115300001	145700000	2
OK004	1	146500001	147400000	3
OK004	1	149100001	151600000	3
OK004	1	151600001	153500000	3
OK004	1	153500001	156900000	3
OK004	1	156900001	185400000	3
OK004	1	185400001	199800000	3
OK004	1	199800001	208600000	3
OK004	1	208600001	225800000	3
OK004	1	225800001	249200000	3
OK004	2	100001	12900000	2
OK004	2	12900001	22900000	2
OK004	2	22900001	5.1e+07	3
OK004	2	51000001	81200000	4
OK004	2	81200001	85100000	4
OK004	2	85100001	97600000	4
OK004	2	97600001	99800000	4
OK004	2	99800001	147100000	6
OK004	2	147100001	160200000	4
OK004	2	160200001	167500000	4
OK004	2	167500001	180300000	4
OK004	2	180300001	194400000	4
OK004	2	194400001	202100000	4
OK004	2	202200001	209200000	2
OK004	2	209200001	215300000	2
OK004	2	215300001	2.43e+08	2
OK004	3	100001	9100000	2
OK004	3	9200001	16600000	2
OK004	3	16600001	31700000	2
OK004	3	31700001	33200000	2
OK004	3	33200001	46900000	2
OK004	3	46900001	50800000	2
OK004	3	50800001	59900000	2
OK004	3	59900001	60600000	0
OK004	3	60600001	71100000	2
OK004	3	71100001	73900000	2
OK004	3	73900001	90200000	2
OK004	3	93600001	122600000	4
OK004	3	122600001	129700000	4
OK004	3	130000001	182800000	4
OK004	3	182800001	188100000	4
OK004	3	188100001	192400000	5
OK004	3	192400001	197800000	4
OK004	4	100001	5600000	2
OK004	4	5600001	10300000	2
OK004	4	10300001	25400000	2
OK004	4	25400001	27400000	2
OK004	4	27400001	37500000	2
OK004	4	37500001	39400000	2
OK004	4	39400001	4.1e+07	2
OK004	4	41000001	42500000	2
OK004	4	42600001	47900000	2
OK004	4	47900001	58800000	2
OK004	4	58800001	183700000	2
OK004	4	183700001	190800000	2
OK004	5	100001	11800000	4
OK004	5	11800001	1.4e+07	4
OK004	5	14000001	17500000	4
OK004	5	17700001	31300000	4
OK004	5	31300001	32600000	3
OK004	5	32600001	45900000	4
OK004	5	49600001	53200000	3
OK004	5	53200001	93900000	3
OK004	5	94000001	131500000	4
OK004	5	131500001	162700000	3
OK004	5	162700001	167600000	2
OK004	5	167600001	180700000	2
OK004	6	400001	30500000	2
OK004	6	30500001	37800000	2
OK004	6	37800001	41300000	2
OK004	6	41300001	44700000	2
OK004	6	44700001	89600000	2
OK004	6	89600001	91200000	2
OK004	6	91200001	104900000	2
OK004	6	104900001	114400000	2
OK004	6	114500001	147900000	2
OK004	6	147900001	162200000	2
OK004	6	162200001	162900000	0
OK004	6	162900001	170900000	2
OK004	7	1	6800000	4
OK004	7	7100001	66400000	4
OK004	7	66800001	69100000	3
OK004	7	69100001	69900000	4
OK004	7	69900001	7.2e+07	3
OK004	7	72700001	7.4e+07	2
OK004	7	75200001	7.6e+07	3
OK004	7	76800001	97500000	4
OK004	7	97700001	99600000	3
OK004	7	99600001	102500000	3
OK004	7	102500001	104400000	4
OK004	7	104400001	105800000	4
OK004	7	105800001	108800000	4
OK004	7	108800001	110200000	3
OK004	7	110200001	113500000	2
OK004	7	113500001	127100000	2
OK004	7	127100001	159100000	2
OK004	8	400001	43300000	2
OK004	8	48000001	5.9e+07	4
OK004	8	59000001	93500000	6
OK004	8	93500001	100800000	7
OK004	8	100800001	101500000	9
OK004	8	101500001	106500000	7
OK004	8	106500001	1.16e+08	5
OK004	8	116000001	133800000	7
OK004	8	133900001	1.45e+08	6
OK004	8	145000001	146200000	2
OK004	9	200001	9e+05	2
OK004	9	900001	3.3e+07	2
OK004	9	33000001	38800000	2
OK004	9	71000001	130100000	4
OK004	9	130100001	139500000	3
OK004	9	139500001	1.41e+08	4
OK004	10	100001	38500000	2
OK004	10	42900001	69500000	4
OK004	10	69500001	81400000	4
OK004	10	81700001	82500000	2
OK004	10	82500001	93900000	2
OK004	10	93900001	135400000	2
OK004	11	200001	4300000	2
OK004	11	4400001	43300000	3
OK004	11	43300001	48300000	2
OK004	11	49900001	60500000	3
OK004	11	60500001	68600000	3
OK004	11	68600001	70400000	4
OK004	11	70400001	111500000	3
OK004	11	111500001	134800000	3
OK004	12	200001	9800000	5
OK004	12	9800001	31100000	5
OK004	12	31100001	34100000	5
OK004	12	38800001	4.9e+07	3
OK004	12	49000001	58300000	3
OK004	12	58300001	92400000	3
OK004	12	92400001	107700000	3
OK004	12	107700001	133800000	3
OK004	13	19400001	53900000	2
OK004	13	53900001	65400000	2
OK004	13	65400001	93200000	3
OK004	13	93200001	101800000	2
OK004	13	101800001	106500000	3
OK004	13	106500001	113300000	2
OK004	13	113300001	115169878	2
OK004	14	20400001	24900000	3
OK004	14	25000001	63500000	4
OK004	14	63500001	65900000	3
OK004	14	65900001	68900000	4
OK004	14	68900001	8e+07	3
OK004	14	80000001	89400000	4
OK004	14	89400001	107300000	3
OK004	15	22800001	35400000	2
OK004	15	35400001	40300000	2
OK004	15	40300001	4.6e+07	2
OK004	15	46000001	62700000	2
OK004	15	62700001	91900000	2
OK004	15	91900001	102400000	5
OK004	16	100001	31500000	3
OK004	16	31500001	83900000	4
OK004	16	83900001	90100000	4
OK004	17	1	5e+06	3
OK004	17	5000001	21200000	3
OK004	17	25600001	28900000	2
OK004	17	29100001	49900000	3
OK004	17	49900001	53300000	4
OK004	17	53300001	66700000	3
OK004	17	66700001	69900000	4
OK004	17	69900001	81100000	3
OK004	18	200001	24300000	2
OK004	18	24300001	42200000	2
OK004	18	42300001	49300000	2
OK004	18	49300001	55200000	2
OK004	18	55200001	57700000	2
OK004	18	57700001	6e+07	2
OK004	18	60000001	61200000	2
OK004	18	61200001	69700000	2
OK004	18	69700001	7e+07	0
OK004	18	70000001	78077248	2
OK004	19	300001	19800000	2
OK004	19	19800001	59100000	4
OK004	20	1	6100000	4
OK004	20	6100001	3e+07	4
OK004	20	30000001	58400000	4
OK004	20	58400001	60200000	8
OK004	20	60300001	62900000	4
OK004	21	15500001	22900000	3
OK004	21	22900001	27800000	3
OK004	21	27800001	32200000	3
OK004	21	32200001	48100000	3
OK004	22	17400001	18600000	2
OK004	22	19000001	51200000	3
OK005	1	900001	2.24e+08	0
OK005	1	224300001	2.43e+08	Inf
OK005	1	243400001	249200000	0
OK005	2	100001	100100000	0
OK005	2	100100001	123300000	0
OK005	2	123300001	138300000	0
OK005	2	138300001	2.43e+08	0
OK005	3	100001	90200000	0
OK005	3	93600001	197800000	0
OK005	4	100001	190800000	0
OK005	5	100001	45900000	Inf
OK005	5	49600001	180700000	0
OK005	6	400001	51900000	0
OK005	6	51900001	5.5e+07	0
OK005	6	55000001	57200000	0
OK005	6	57600001	170900000	0
OK005	7	1	159100000	0
OK005	8	400001	146200000	0
OK005	9	200001	32500000	0
OK005	9	32600001	35800000	Inf
OK005	9	35800001	38800000	-Inf
OK005	9	71000001	1.41e+08	0
OK005	10	100001	34600000	Inf
OK005	10	34600001	37500000	-Inf
OK005	10	37500001	135400000	0
OK005	11	200001	134800000	0
OK005	12	200001	133800000	0
OK005	13	19400001	115169878	0
OK005	14	20400001	107300000	0
OK005	15	22800001	23100000	-Inf
OK005	15	23700001	64800000	0
OK005	15	64800001	88700000	0
OK005	15	88700001	102400000	0
OK005	16	100001	90100000	0
OK005	17	1	70800000	0
OK005	17	70900001	81100000	0
OK005	18	200001	14100000	-Inf
OK005	18	18600001	46500000	0
OK005	18	46500001	78077248	0
OK005	19	300001	59100000	0
OK005	20	1	62900000	Inf
OK005	21	15500001	48100000	0
OK005	22	17400001	46400000	0
OK005	22	46400001	51200000	Inf
OK006	1	900001	249200000	0
OK006	2	100001	2.43e+08	0
OK006	3	100001	197800000	0
OK006	4	100001	190800000	0
OK006	5	100001	49900000	0
OK006	5	50000001	180700000	0
OK006	6	400001	170900000	0
OK006	7	1	159100000	0
OK006	8	400001	146200000	0
OK006	9	200001	2100000	0
OK006	9	2100001	1.41e+08	0
OK006	10	100001	135400000	0
OK006	11	200001	134800000	0
OK006	12	200001	133800000	0
OK006	13	19400001	115169878	0
OK006	14	20400001	107300000	0
OK006	15	22800001	102400000	0
OK006	16	100001	90100000	0
OK006	17	1	21200000	-Inf
OK006	17	25600001	81100000	0
OK006	18	200001	78077248	0
OK006	19	300001	59100000	0
OK006	20	1	62900000	Inf
OK006	21	15500001	48100000	0
OK006	22	17400001	51200000	0
OK007	1	900001	14600000	Inf
OK007	1	14600001	119800000	0
OK007	1	119800001	249200000	0
OK007	2	100001	18400000	0
OK007	2	18400001	133600000	0
OK007	2	133600001	134300000	-Inf
OK007	2	134300001	1.87e+08	0
OK007	2	187000001	2.43e+08	0
OK007	3	100001	76600000	-Inf
OK007	3	76600001	90200000	Inf
OK007	3	93600001	175100000	0
OK007	3	175100001	197800000	Inf
OK007	4	100001	21800000	0
OK007	4	21800001	37600000	-Inf
OK007	4	37600001	39300000	0
OK007	4	39300001	40700000	-Inf
OK007	4	40800001	42900000	Inf
OK007	4	42900001	4.9e+07	-Inf
OK007	4	52700001	54100000	Inf
OK007	4	54200001	90600000	0
OK007	4	90600001	91100000	Inf
OK007	4	91100001	190800000	0
OK007	5	100001	58700000	0
OK007	5	58700001	59200000	-Inf
OK007	5	59200001	63100000	0
OK007	5	63100001	180700000	-Inf
OK007	6	400001	116400000	0
OK007	6	116400001	116700000	-Inf
OK007	6	116700001	170900000	0
OK007	7	1	3500000	0
OK007	7	3500001	4e+06	0
OK007	7	4000001	159100000	0
OK007	8	400001	5800000	-Inf
OK007	8	5800001	130900000	0
OK007	8	130900001	131400000	-Inf
OK007	8	131400001	146200000	Inf
OK007	9	200001	14700000	-Inf
OK007	9	14700001	16600000	Inf
OK007	9	16600001	1.41e+08	0
OK007	10	100001	3500000	0
OK007	10	3500001	5500000	0
OK007	10	5500001	135400000	0
OK007	11	200001	66300000	0
OK007	11	66300001	73900000	Inf
OK007	11	73900001	74400000	0
OK007	11	74400001	104300000	0
OK007	11	104300001	134800000	0
OK007	12	200001	1600000	0
OK007	12	1600001	5200000	Inf
OK007	12	5200001	5500000	-Inf
OK007	12	5500001	73800000	0
OK007	12	73800001	133800000	-Inf
OK007	13	19400001	21300000	0
OK007	13	21300001	32900000	-Inf
OK007	13	32900001	74400000	Inf
OK007	13	74400001	115169878	-Inf
OK007	14	20400001	24400000	-Inf
OK007	14	24500001	107300000	Inf
OK007	15	22800001	63300000	0
OK007	15	63300001	66400000	-Inf
OK007	15	66400001	73300000	0
OK007	15	73300001	102400000	0
OK007	16	100001	30600000	0
OK007	16	30600001	82800000	0
OK007	16	82800001	83200000	-Inf
OK007	16	83200001	90100000	0
OK007	17	1	35300000	-Inf
OK007	17	35300001	81100000	0
OK007	18	200001	14100000	Inf
OK007	18	18600001	78077248	0
OK007	19	300001	2200000	-Inf
OK007	19	2200001	4600000	Inf
OK007	19	4600001	5900000	-Inf
OK007	19	5900001	19200000	0
OK007	19	19200001	33500000	-Inf
OK007	19	33500001	57500000	0
OK007	19	57500001	59100000	-Inf
OK007	20	1	23900000	-Inf
OK007	20	23900001	40300000	0
OK007	20	40300001	43400000	0
OK007	20	43400001	45100000	Inf
OK007	20	45200001	51400000	0
OK007	20	51400001	62900000	Inf
OK007	21	15500001	44500000	0
OK007	21	44500001	48100000	0
OK007	22	17400001	41200000	Inf
OK007	22	41200001	51200000	-Inf
OK008	1	900001	80900000	3
OK008	1	80900001	114800000	3
OK008	1	114800001	116200000	8
OK008	1	116200001	121300000	4
OK008	1	145400001	154900000	3
OK008	1	154900001	156900000	3
OK008	1	156900001	174100000	3
OK008	1	174100001	179400000	3
OK008	1	179400001	181100000	3
OK008	1	181100001	181400000	4
OK008	1	181400001	182100000	3
OK008	1	182200001	191300000	3
OK008	1	191300001	193900000	3
OK008	1	193900001	236600000	3
OK008	1	236600001	249200000	3
OK008	2	100001	27900000	3
OK008	2	27900001	32300000	4
OK008	2	32500001	36300000	5
OK008	2	36400001	42100000	4
OK008	2	42100001	50500000	3
OK008	2	50500001	54400000	4
OK008	2	54400001	5.6e+07	4
OK008	2	56000001	58100000	6
OK008	2	58100001	70300000	5
OK008	2	70300001	76500000	4
OK008	2	76500001	194600000	3
OK008	2	194600001	237400000	2
OK008	2	237400001	2.43e+08	2
OK008	3	100001	3600000	2
OK008	3	3600001	4500000	2
OK008	3	4500001	19300000	3
OK008	3	19300001	2.6e+07	3
OK008	3	26000001	32100000	2
OK008	3	32100001	34100000	3
OK008	3	34200001	49600000	3
OK008	3	49600001	50700000	4
OK008	3	50700001	61300000	3
OK008	3	61300001	67800000	3
OK008	3	67900001	84300000	2
OK008	3	84300001	87800000	3
OK008	3	87800001	90200000	3
OK008	3	93600001	126400000	4
OK008	3	126400001	139800000	4
OK008	3	139800001	148500000	4
OK008	3	148500001	154100000	4
OK008	3	154100001	166900000	4
OK008	3	166900001	197800000	5
OK008	4	100001	5100000	3
OK008	4	5100001	48100000	2
OK008	4	48100001	67200000	3
OK008	4	67200001	69800000	3
OK008	4	69800001	72600000	4
OK008	4	72600001	76700000	5
OK008	4	76700001	81100000	3
OK008	4	81100001	1.07e+08	3
OK008	4	107000001	150900000	3
OK008	4	150900001	151700000	5
OK008	4	151700001	152700000	3
OK008	4	152700001	157400000	3
OK008	4	157400001	1.58e+08	3
OK008	4	158000001	190800000	2
OK008	5	100001	42500000	3
OK008	5	42500001	58400000	2
OK008	5	58400001	5.9e+07	1
OK008	5	59000001	180700000	2
OK008	6	400001	1700000	4
OK008	6	1700001	16400000	3
OK008	6	16500001	23800000	3
OK008	6	23800001	2.5e+07	3
OK008	6	25000001	30300000	3
OK008	6	30300001	33600000	2
OK008	6	33600001	46200000	3
OK008	6	46200001	47800000	4
OK008	6	47800001	50900000	3
OK008	6	51000001	52300000	4
OK008	6	52300001	64400000	5
OK008	6	64400001	67500000	6
OK008	6	67500001	79400000	3
OK008	6	79400001	85400000	3
OK008	6	85400001	91300000	4
OK008	6	91300001	95700000	2
OK008	6	95800001	170900000	3
OK008	7	1	1.4e+07	2
OK008	7	14000001	55700000	3
OK008	7	55900001	56600000	3
OK008	7	64700001	66400000	5
OK008	7	66800001	68800000	4
OK008	7	68800001	69600000	3
OK008	7	69600001	70100000	3
OK008	7	70100001	73900000	2
OK008	7	73900001	83800000	3
OK008	7	83800001	90300000	3
OK008	7	90300001	91500000	4
OK008	7	91500001	9.4e+07	6
OK008	7	94000001	109300000	4
OK008	7	109300001	139800000	3
OK008	7	139800001	146200000	4
OK008	7	146200001	151200000	3
OK008	7	151200001	159100000	3
OK008	8	400001	3100000	2
OK008	8	3100001	35700000	2
OK008	8	35700001	36400000	3
OK008	8	36400001	40200000	3
OK008	8	40200001	4.3e+07	3
OK008	8	43100001	48500000	4
OK008	8	48500001	50100000	5
OK008	8	50100001	64800000	4
OK008	8	64800001	67100000	8
OK008	8	67100001	69200000	12
OK008	8	69300001	80600000	4
OK008	8	80600001	8.1e+07	8
OK008	8	81100001	99700000	4
OK008	8	99800001	105300000	5
OK008	8	105300001	119800000	4
OK008	8	119800001	120400000	5
OK008	8	120400001	1.36e+08	4
OK008	8	136100001	139600000	4
OK008	8	139600001	146200000	4
OK008	9	200001	32700000	1
OK008	9	32700001	1.15e+08	2
OK008	9	115000001	140400000	4
OK008	9	140400001	1.41e+08	2
OK008	10	100001	6700000	4
OK008	10	6700001	12600000	4
OK008	10	12600001	31700000	3
OK008	10	31700001	36700000	4
OK008	10	36800001	1.07e+08	2
OK008	10	107000001	110400000	2
OK008	10	110400001	135400000	2
OK008	11	200001	36300000	2
OK008	11	36300001	37300000	5
OK008	11	37300001	40200000	2
OK008	11	40300001	46300000	2
OK008	11	46300001	46900000	2
OK008	11	46900001	48300000	3
OK008	11	49900001	56500000	4
OK008	11	56500001	6.5e+07	3
OK008	11	65000001	66800000	4
OK008	11	66800001	68400000	6
OK008	11	68400001	70700000	14
OK008	11	70700001	134800000	2
OK008	12	200001	1500000	5
OK008	12	1500001	19400000	4
OK008	12	19400001	27100000	3
OK008	12	27100001	29500000	4
OK008	12	29500001	49300000	5
OK008	12	49300001	6.1e+07	2
OK008	12	61000001	63600000	4
OK008	12	63600001	68400000	3
OK008	12	68400001	7e+07	4
OK008	12	70100001	103400000	3
OK008	12	103400001	113500000	2
OK008	12	113600001	1.16e+08	4
OK008	12	116000001	118100000	3
OK008	12	118100001	120800000	2
OK008	12	120800001	121400000	3
OK008	12	121400001	133800000	2
OK008	13	19400001	35800000	2
OK008	13	35800001	73600000	1
OK008	13	73600001	115169878	2
OK008	14	20400001	22500000	3
OK008	14	22500001	2.3e+07	3
OK008	14	23000001	28200000	3
OK008	14	28300001	29300000	7
OK008	14	29300001	32100000	3
OK008	14	32100001	34200000	3
OK008	14	34200001	35200000	4
OK008	14	35200001	44900000	8
OK008	14	44900001	45700000	7
OK008	14	45700001	49400000	5
OK008	14	49500001	51100000	6
OK008	14	51100001	52500000	5
OK008	14	52500001	8.4e+07	3
OK008	14	84000001	88700000	6
OK008	14	88700001	9.9e+07	6
OK008	14	99000001	103600000	7
OK008	14	103600001	107300000	3
OK008	15	22800001	3.3e+07	3
OK008	15	33000001	38900000	3
OK008	15	38900001	47300000	3
OK008	15	47300001	4.8e+07	4
OK008	15	48000001	52400000	3
OK008	15	52400001	5.5e+07	3
OK008	15	55000001	7.6e+07	2
OK008	15	76000001	79100000	3
OK008	15	79100001	81700000	3
OK008	15	81700001	98400000	2
OK008	15	98400001	99400000	3
OK008	15	99400001	102400000	3
OK008	16	100001	2100000	3
OK008	16	2200001	4400000	2
OK008	16	4400001	5800000	3
OK008	16	5800001	8200000	3
OK008	16	8200001	14100000	3
OK008	16	14100001	14700000	4
OK008	16	14700001	18100000	3
OK008	16	19000001	23900000	2
OK008	16	23900001	25300000	3
OK008	16	25300001	27100000	2
OK008	16	27100001	48200000	3
OK008	16	48200001	7e+07	2
OK008	16	70300001	72100000	3
OK008	16	72100001	73200000	2
OK008	16	73200001	8.5e+07	3
OK008	16	85100001	88500000	2
OK008	16	88500001	90100000	4
OK008	17	1	47300000	2
OK008	17	47300001	51300000	3
OK008	17	51300001	56200000	2
OK008	17	56200001	57200000	7
OK008	17	57200001	78900000	3
OK008	17	78900001	81100000	4
OK008	18	200001	5e+06	5
OK008	18	5000001	20500000	4
OK008	18	20500001	2.6e+07	4
OK008	18	26000001	2.7e+07	3
OK008	18	27000001	33300000	2
OK008	18	33300001	3.4e+07	3
OK008	18	34000001	41400000	2
OK008	18	41400001	65600000	2
OK008	18	65600001	67300000	4
OK008	18	67300001	78077248	5
OK008	19	300001	1300000	1
